country_id,country_name,iso3,region,created_at,updated_at
1,Afghanistan,AFG,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
2,Albania,ALB,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
3,Algeria,DZA,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
4,American Samoa,ASM,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
5,Channel Islands,GGY,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
6,Andorra,AND,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
7,Angola,AGO,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
8,Anguilla,AIA,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
9,Antigua and Barbuda,ATG,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
10,Argentina,ARG,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
11,Armenia,ARM,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
12,Aruba,ABW,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
13,Australia,AUS,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
14,Austria,AUT,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
15,Azerbaijan,AZE,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
16,Bahamas,BHS,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
17,Bahrain,BHR,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
18,Bangladesh,BGD,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
19,Barbados,BRB,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
20,Belarus,BLR,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
21,Belgium,BEL,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
22,Belgium-Luxembourg,BEL,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
23,Belize,BLZ,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
24,Benin,BEN,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
25,Bermuda,BMU,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
26,Bhutan,BTN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
27,Bolivia (Plurinational State of),BOL,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
28,British Virgin Islands,VGB,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
29,Bosnia and Herzegovina,BIH,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
30,Botswana,BWA,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
31,Brazil,BRA,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
32,Brunei Darussalam,BRN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
33,Bulgaria,BGR,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
34,Burkina Faso,BFA,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
35,Burundi,BDI,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
36,Cabo Verde,CPV,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
37,Cambodia,KHM,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
38,Cameroon,CMR,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
39,Canada,CAN,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
40,Cayman Islands,CYM,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
41,Central African Republic,CAF,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
42,Chad,TCD,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
43,Chile,CHL,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
44,China,CHN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
45,"China, Hong Kong SAR",HKG,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
46,"China, Macao SAR",MAC,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
47,Gibraltar,GIB,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
48,"China, mainland",CHN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
49,"China, Taiwan Province of",TWN,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
50,Colombia,COL,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
51,Comoros,COM,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
52,Congo,COG,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
53,Cook Islands,COK,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
54,Costa Rica,CRI,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
55,Croatia,HRV,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
56,Cuba,CUB,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
57,Cyprus,CYP,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
58,Czechia,CZE,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
59,Czechoslovakia,CZE,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
60,Democratic People's Republic of Korea,PRK,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
61,Democratic Republic of the Congo,COD,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
62,Denmark,DNK,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
63,Djibouti,DJI,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
64,Dominica,DMA,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
65,Dominican Republic,DOM,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
66,Ecuador,ECU,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
67,Egypt,EGY,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
68,El Salvador,SLV,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
69,Equatorial Guinea,GNQ,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
70,Eritrea,ERI,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
71,Estonia,EST,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
72,Eswatini,SWZ,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
73,Ethiopia,ETH,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
74,Ethiopia PDR,ETH,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
75,Falkland Islands (Malvinas),FLK,South America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
76,Faroe Islands,FRO,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
77,Fiji,FJI,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
78,Finland,FIN,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
79,France,FRA,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
80,French Polynesia,PYF,Oceania,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
81,Gabon,GAB,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
82,Gambia,GMB,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
83,Georgia,GEO,Asia,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
84,Germany,DEU,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
85,Ghana,GHA,Africa,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
86,Greece,GRC,Europe,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
87,Greenland,GRL,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
88,Grenada,GRD,North America,2025-10-16 09:54:51.746020,2025-10-16 09:54:51.746020
