year,decade,created_at,updated_at
1990,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1991,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1992,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1993,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1994,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1995,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1996,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1997,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1998,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
1999,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2000,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2001,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2002,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2003,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2004,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2005,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2006,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2007,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2008,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2009,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2010,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2011,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2012,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2013,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2014,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2015,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2016,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2017,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2018,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2019,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
2020,0,2025-10-16 09:54:51.812363,2025-10-16 09:54:51.812369
