country_id,country_name,iso3,region,created_at,updated_at
1,Afghanistan,AFG,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
2,Albania,ALB,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
3,Algeria,DZA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
4,American Samoa,ASM,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
5,Channel Islands,GGY,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
6,Andorra,AND,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
7,Angola,AGO,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
8,Anguilla,AIA,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
9,Antigua and Barbuda,ATG,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
10,Argentina,ARG,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
11,Armenia,ARM,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
12,Aruba,ABW,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
13,Australia,AUS,Oceania,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
14,Austria,AUT,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
15,Azerbaijan,AZE,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
16,Bahamas,BHS,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
17,Bahrain,BHR,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
18,Bangladesh,BGD,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
19,Barbados,BRB,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
20,Belarus,BLR,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
21,Belgium,BEL,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
22,Belgium-Luxembourg,BEL,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
23,Belize,BLZ,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
24,Benin,BEN,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
25,Bermuda,BMU,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
26,Bhutan,BTN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
27,Bolivia (Plurinational State of),BOL,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
28,British Virgin Islands,VGB,North America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
29,Bosnia and Herzegovina,BIH,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
30,Botswana,BWA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
31,Brazil,BRA,South America,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
32,Brunei Darussalam,BRN,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
33,Bulgaria,BGR,Europe,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
34,Burkina Faso,BFA,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
35,Burundi,BDI,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
36,Cabo Verde,CPV,Africa,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
37,Cambodia,KHM,Asia,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
