year,created_at,updated_at
1990,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1991,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1992,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1993,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1994,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1995,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1996,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1997,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1998,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
1999,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2000,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2001,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2002,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2003,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2004,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2005,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2006,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2007,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2008,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2009,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2010,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2011,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2012,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2013,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2014,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2015,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2016,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2017,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2018,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2019,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
2020,2025-10-17 04:40:53.609262,2025-10-17 04:40:53.609267
