fact_id,country_id,year,rural_population,urban_population,population_male,population_female,created_at,updated_at
1,1,1990,9655167.0,2593947.0,5348387.0,5346409.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
2,1,1991,10230490.0,2763167.0,5372959.0,5372208.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
3,1,1992,10995568.0,2985663.0,6028494.0,6028939.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
4,1,1993,11858090.0,3237009.0,7003641.0,7000119.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
5,1,1994,12690115.0,3482604.0,7733458.0,7722096.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
6,1,1995,13401971.0,3697570.0,8219467.000000001,8199445.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
7,1,1996,13952791.0,3870093.0,8569175.0,8537421.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
8,1,1997,14373573.0,4008032.0,8916862.0,8871958.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
9,1,1998,14733655.0,4130344.0,9275541.0,9217591.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
10,1,1999,15137497.0,4266179.0,9667811.0,9595036.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
11,1,2000,15657474.0,4436282.0,9815442.0,9727541.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
12,1,2001,16318324.0,4648139.0,9895467.0,9793166.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
13,1,2002,17086910.0,4893013.0,10562202.0,10438055.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
14,1,2003,17909063.0,5155788.0,11397483.0,11247647.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
15,1,2004,18692107.0,5426872.0,11862726.0,11690825.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
16,1,2005,19378962.0,5691836.0,12302104.0,12109086.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
17,1,2006,19961972.0,5931478.0,12828447.0,12614497.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
18,1,2007,20464923.0,6151869.0,13067961.0,12835340.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
19,1,2008,20929119.0,6364912.0,13339006.0,13088192.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
20,1,2009,21415593.0,6588738.0,13827977.0,13557331.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
21,1,2010,21966187.0,6836980.0,14240377.0,13949295.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
22,1,2011,22594126.0,7114473.0,14780282.0,14468875.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
23,1,2012,23280663.0,7416295.0,15399105.0,15067373.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
24,1,2013,23997856.0,7733832.0,15946572.0,15594637.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
25,1,2014,24703798.0,8054222.0,16543889.0,16172321.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
26,1,2015,25368923.0,8367571.0,17071446.0,16682054.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
27,1,2016,25985093.0,8670939.0,17520861.0,17115346.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
28,1,2017,26558609.0,8971472.0,18028696.0,17614722.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
29,1,2018,27099874.0,9273302.0,18549862.0,18136922.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
30,1,2019,27626382.0,9582625.0,19090409.0,18679089.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
31,1,2020,28150604.0,9904337.0,19692301.0,19279930.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
32,2,1990,2086075.0,1195379.0,1676902.0,1618163.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
33,2,1991,2073348.0,1202083.0,1675168.0,1626914.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
34,2,1992,2033508.0,1207079.0,1670550.0,1633189.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
35,2,1993,1983942.0,1205641.0,1663515.0,1637195.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
36,2,1994,1936056.0,1204539.0,1654796.0,1639203.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
37,2,1995,1897862.0,1208874.0,1644902.0,1639462.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
38,2,1996,1871645.0,1220583.0,1633759.0,1637572.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
39,2,1997,1854740.0,1238301.0,1620795.0,1632924.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
40,2,1998,1843604.0,1260155.0,1606618.0,1625558.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
41,2,1999,1832914.0,1282662.0,1592223.0,1616037.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
